sku,images
0100023AM,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/66d6f94299ced0.72708252.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/66d6f943709410.98257256.jpg
0100024AM,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/66d6f94415aa39.79418817.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/66d6f94498cf85.35640585.jpg
01001031AM,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/66d6f9450ba949.64956387.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/66d6f9458c10f0.03448051.jpg
10100826,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/6645c616759358.02187027.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/6645c6172d5715.44346074.jpg
1017810101010L,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/5f58b457c3bf53.15658021.jpg
1017810101010S,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/5f58b457c3bf53.15658021.jpg
1017810101020L,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/646dc59f555d75.61126004.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/5f58b4597fa262.96497322.jpg
1017810101020S,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/646dc59f555d75.61126004.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/5f58b4597fa262.96497322.jpg
1017810101060L,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/6346ea1b5d0d51.44988362.jpg
1017810101126L,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/6346ea1bf0a5a1.23944211.jpg
1017810101126S,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/6346ea1bf0a5a1.23944211.jpg
