SKU	StockLevel
10015	0
10016	0
10026	0
10031	0
10158100110XL	0
10158100130XL	0
1015940041020	0
1015940043010	0
1015940047220	0
101652001102XL	0
10165200110L	0
10165200110M	0
10165200110S	0
10165200110XL	0
10167203720L	0
EL573	0
EL693	0
EL693UK	100
OL304	100
OX602	100
OX603	100
OX604	100
OX605	100
BM12140	0
BM12141	0
BM12142	0
BM12143	0
BM12144	0
BM12145	0
BM12146	0
BM12147	0
32047181555XL	0
3204718155L	0
3204718155M	0
3204718155S	0
3204718155XL	0
3204718155XXL	0
320471816083XL	0
320471816085XL	0
32047181608L	0
32047181608M	0
32047181608S	0
32047181608XL	0
32047181608XXL	0
32147181039L	0
32147181039M	0
32147181039S	0
32147181039XL	0
32147181039XXL	0
32147181190L	0
32147181190M	0
32147181190S	0
32147181190XL	0
32147181190XXL	0
3214718155L	0
3214718155M	0
3214718155S	0
3214718155XL	0
3214718155XXL	0
323471810M	1
323471810S	0
323471810XL	0
1037720227000M	0
1037720227000S	0
25420151045	100
33105171239L	0
331051712M	0
10367201510XXL	0
10367201520L	0
10367201520M	0
10367201520S	0
10367201520XL	0
10367201520XXL	0
TW16910122	28
1016910001018	0
1016910001072	0
1016910011018	0
1016910011872	0
1016910013010	0
1016930051187	0
102572007202XL	0
1032720301020L	0
1032720301020M	30
1032720301020S	46
1032720301020XL	0
1032720301020XXL	0
10327203210202XL	0
1032720321020L	0
1032720321020M	0
1032720321020S	0
1032720321020XL	0
1032810081020L	18
1032810081020S	0
103553003102XL	1
10355300310L	0
10355300310M	0
10355300310S	0
10355300310XL	0
10358101930	0
10359200418	0
1039810051020L	11
1039810051020S	61
20471171007	4
20471171008	13
20471171009	25
20471171010	26
20471171011	28
20471171012	1
20471171013	0
20473178210	22
20473178211	18
20473178212	0
20473178213	0
2047317827	8
2047317828	27
2047317829	18
20475161010	23
20475161011	9
20475161012	16
20475161013	4
2047516108	24
2047516109	35
22200151039	0
22200151040	0
22200151041	0
22200151042	0
22200151043	0
22200151044	0
22200151045	0
22200151046	1
22200151047	0
22200151048	0
